,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,tmdb_ratings,images
53,53,53,53,Roar Uthaug,Alicia Vikander,Dominic West,Walton Goggins,Action Adventure Fantasy,tomb raider,6.3,https://m.media-amazon.com/images/M/MV5BOTY4NDcyZGQtYmVlNy00ODgwLTljYTMtYzQ2OTE3NDhjODMwXkEyXkFqcGdeQXVyNzYzODM3Mzg@.jpg
54,54,54,54,Greg Berlanti,Nick Robinson,Katherine Langford,Alexandra Shipp,Comedy Drama Romance,"love, simon",8.2,"https://m.media-amazon.com/images/M/MV5BMmE5Y2RjYjYtOTYyOC00ZDAyLWE1YTItYTQ1ZDZjOWYyMWIwXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SY150_CR3,0,101,150_.jpg.jpg"
55,55,55,55,Jon Erwin,Cloris Leachman,Dennis Quaid,Priscilla Shirer,Music Drama,i can only imagine,7.4,https://m.media-amazon.com/images/M/MV5BMTRjNDc5NTAtZGJlYS00NTg4LTk2NTEtNGUwY2NiZWM3YTY2XkEyXkFqcGdeQXVyNTQ3MjE4NTU@.jpg
56,56,56,56,Josýý Padilha,Rosamund Pike,Daniel Brýýhl,Vincent Cassel,Thriller Drama Crime,7 days in entebbe,5.8,https://m.media-amazon.com/images/M/MV5BMjAwNDMzNzg0Nl5BMl5BanBnXkFtZTgwOTkxNjY2NDM@.jpg
57,57,57,57,Laurie Collyer,Melissa Leo,Tessa Thompson,La La Anthony,Comedy,furlough,6.0,https://m.media-amazon.com/images/M/MV5BZmJhOGNiZWMtNmVhYi00YmJhLTkzMzEtZDEwNjRjMDg4NjcwXkEyXkFqcGdeQXVyMTMxODk2OTU@.jpg
58,58,58,58,Eric England,Sophie Turner,Dylan McDermott,Jack Kilmer,Comedy Music,josie,5.5,https://m.media-amazon.com/images/M/MV5BYWRjMzNmNmMtNGM1NC00OGU5LWJhNmMtNmUzNDMwZjBiOGNhXkEyXkFqcGdeQXVyMjA1MDcxMw@@.jpg
59,59,59,59,Max Winkler,Zoey Deutch,Kathryn Hahn,Tim Heidecker,Drama Comedy,flower,6.6,https://m.media-amazon.com/images/M/MV5BYzViOTBmMGUtODBlMi00YzYzLThiM2MtOGFlMzZkNWU4NDRjXkEyXkFqcGdeQXVyODE0MDY3NzY@.jpg
60,60,60,60,Steven S. DeKnight,John Boyega,Scott Eastwood,Cailee Spaeny,Action Fantasy Science Fiction Adventure,pacific rim: uprising,6.1,https://m.media-amazon.com/images/M/MV5BMjI3Nzg0MTM5NF5BMl5BanBnXkFtZTgwOTE2MTgwNTM@.jpg
61,61,61,61,Wes Anderson,Bryan Cranston,Edward Norton,Bill Murray,Adventure Comedy Animation,isle of dogs,7.9,https://m.media-amazon.com/images/M/MV5BMTYyOTUwNjAxM15BMl5BanBnXkFtZTgwODcyMzE0NDM@.jpg
62,62,62,62,John Stevenson,James McAvoy,Emily Blunt,Johnny Depp,Animation Family Fantasy Comedy Adventure Mystery,sherlock gnomes,5.6,https://m.media-amazon.com/images/M/MV5BMTc2NjUzODMxMF5BMl5BanBnXkFtZTgwMzMwMDIzNDM@.jpg
63,63,63,63,Steven Soderbergh,Claire Foy,Joshua Leonard,Jay Pharoah,Horror Thriller,unsane,6.2,https://m.media-amazon.com/images/M/MV5BNTYzMDYzMzA1MV5BMl5BanBnXkFtZTgwODUzODg2NDM@.jpg
64,64,64,64,Andrew Hyatt,James Faulkner,Jim Caviezel,Olivier Martinez,History Drama,"paul, apostle of christ",6.9,https://m.media-amazon.com/images/M/MV5BMWRkYTQ4NzctMDAwYS00NmE3LWI5NzUtMTMzNTQ0MDgwOWI1XkEyXkFqcGdeQXVyODQyOTY2OTA@.jpg
65,65,65,65,Stanley Tucci,Geoffrey Rush,Armie Hammer,Clýýmence Poýýsy,Drama History,final portrait,6.1,https://m.media-amazon.com/images/M/MV5BMjM0Nzk3NDE5OF5BMl5BanBnXkFtZTgwNjQyODA5NDM@.jpg
66,66,66,66,Scott Speer,Bella Thorne,Patrick Schwarzenegger,Rob Riggle,Romance Drama,midnight sun,7.8,https://m.media-amazon.com/images/M/MV5BMjg0NjU1MjgyNF5BMl5BanBnXkFtZTgwNzc5NjYyNDM@.jpg
